CHOCO;MEDIO ATRATO (BETE);CONCEJO;67,67%;60,52%;DISMINUYÓ;5;6;AUMENTÓ
CHOCO;MEDIO SAN JUAN;CONCEJO;60,96%;45,90%;DISMINUYÓ;6;9;AUMENTÓ
CHOCO;NOVITA;CONCEJO;66,84%;59,65%;DISMINUYÓ;5;5;SE MANTUVO
CHOCO;RIOSUCIO;CONCEJO;59,48%;50,58%;DISMINUYÓ;8;9;AUMENTÓ
CHOCO;SIPI;CONCEJO;69,63%;46,51%;DISMINUYÓ;6;8;AUMENTÓ
CHOCO;UNGUIA;CONCEJO;59,64%;61,65%;AUMENTÓ;7;7;SE MANTUVO
GUAVIARE;SAN JOSE DEL GUAVIARE;CONCEJO;62,37%;64,42%;AUMENTÓ;12;14;AUMENTÓ
GUAVIARE;CALAMAR;CONCEJO;57,08%;60,56%;AUMENTÓ;10;8;DISMINUYÓ
GUAVIARE;EL RETORNO;CONCEJO;71,29%;75,89%;AUMENTÓ;6;7;AUMENTÓ
GUAVIARE;MIRAFLORES;CONCEJO;49,10%;60,07%;AUMENTÓ;7;5;DISMINUYÓ
HUILA;ALGECIRAS;CONCEJO;66,80%;74,81%;AUMENTÓ;9;4;DISMINUYÓ
LA GUAJIRA;DIBULLA;CONCEJO;62,00%;63,25%;AUMENTÓ;9;8;DISMINUYÓ
LA GUAJIRA;FONSECA;CONCEJO;73,03%;70,20%;DISMINUYÓ;9;9;SE MANTUVO
LA GUAJIRA;SAN JUAN DEL CESAR;CONCEJO;73,39%;66,93%;DISMINUYÓ;11;12;AUMENTÓ
MAGDALENA;SANTA MARTA;CONCEJO;58,37%;59,57%;AUMENTÓ;14;17;AUMENTÓ
MAGDALENA;ARACATACA;CONCEJO;62,14%;58,15%;DISMINUYÓ;10;11;AUMENTÓ
MAGDALENA;CIENAGA;CONCEJO;65,95%;60,94%;DISMINUYÓ;15;15;SE MANTUVO
MAGDALENA;FUNDACION;CONCEJO;61,94%;54,96%;DISMINUYÓ;12;14;AUMENTÓ
META;MAPIRIPAN;CONCEJO;51,55%;58,44%;AUMENTÓ;9;12;AUMENTÓ
META;MESETAS;CONCEJO;65,28%;67,82%;AUMENTÓ;11;10;DISMINUYÓ
META;LA MACARENA;CONCEJO;65,20%;63,97%;DISMINUYÓ;9;9;SE MANTUVO
META;URIBE;CONCEJO;64,17%;71,91%;AUMENTÓ;8;11;AUMENTÓ
META;PUERTO CONCORDIA;CONCEJO;66,42%;67,93%;AUMENTÓ;11;13;AUMENTÓ
META;PUERTO LLERAS;CONCEJO;68,06%;72,22%;AUMENTÓ;10;12;AUMENTÓ
META;PUERTO RICO;CONCEJO;66,71%;71,06%;AUMENTÓ;9;13;AUMENTÓ
META;VISTA HERMOSA;CONCEJO;66,15%;65,55%;DISMINUYÓ;11;9;DISMINUYÓ
NARIÑO;CUMBITARA;CONCEJO;71,29%;62,84%;DISMINUYÓ;4;5;AUMENTÓ
NARIÑO;EL ROSARIO;CONCEJO;78,49%;82,43%;AUMENTÓ;4;4;SE MANTUVO
NARIÑO;LEIVA;CONCEJO;72,30%;74,57%;AUMENTÓ;8;9;AUMENTÓ
NARIÑO;LOS ANDES (SOTOMAYOR);CONCEJO;75,67%;80,88%;AUMENTÓ;8;8;SE MANTUVO
NARIÑO;POLICARPA;CONCEJO;70,87%;74,32%;AUMENTÓ;4;6;AUMENTÓ
NARIÑO;BARBACOAS;CONCEJO;51,44%;52,31%;AUMENTÓ;8;9;AUMENTÓ
NARIÑO;EL CHARCO;CONCEJO;62,43%;52,66%;DISMINUYÓ;11;9;DISMINUYÓ
NARIÑO;LA TOLA;CONCEJO;68,29%;71,48%;AUMENTÓ;7;5;DISMINUYÓ
NARIÑO;MAGUI (PAYAN);CONCEJO;63,99%;69,60%;AUMENTÓ;8;7;DISMINUYÓ
NARIÑO;MOSQUERA;CONCEJO;74,22%;76,82%;AUMENTÓ;5;4;DISMINUYÓ
NARIÑO;OLAYA HERRERA;CONCEJO;63,85%;67,83%;AUMENTÓ;8;9;AUMENTÓ
NARIÑO;FRANCISCO PIZARRO (SALAHONDA);CONCEJO;69,84%;69,75%;DISMINUYÓ;7;6;DISMINUYÓ
NARIÑO;RICAURTE;CONCEJO;62,27%;48,22%;DISMINUYÓ;6;8;AUMENTÓ
NARIÑO;ROBERTO PAYAN (SAN JOSE);CONCEJO;67,48%;67,23%;DISMINUYÓ;7;7;SE MANTUVO
NARIÑO;SANTA BARBARA (ISCUANDE);CONCEJO;66,50%;67,37%;AUMENTÓ;9;8;DISMINUYÓ
NARIÑO;TUMACO;CONCEJO;52,90%;57,62%;AUMENTÓ;13;16;AUMENTÓ
NORTE DE SAN;CONVENCION;CONCEJO;51,62%;66,65%;AUMENTÓ;10;9;DISMINUYÓ
NORTE DE SAN;EL CARMEN;CONCEJO;65,54%;66,65%;AUMENTÓ;7;9;AUMENTÓ
NORTE DE SAN;EL TARRA;CONCEJO;66,56%;56,77%;DISMINUYÓ;7;5;DISMINUYÓ
NORTE DE SAN;HACARI;CONCEJO;71,07%;67,54%;DISMINUYÓ;8;6;DISMINUYÓ
NORTE DE SAN;SAN CALIXTO;CONCEJO;65,32%;65,70%;AUMENTÓ;7;10;AUMENTÓ
NORTE DE SAN;SARDINATA;CONCEJO;56,59%;58,15%;AUMENTÓ;7;8;AUMENTÓ
NORTE DE SAN;TEORAMA;CONCEJO;69,79%;70,98%;AUMENTÓ;8;7;DISMINUYÓ
NORTE DE SAN;TIBU;CONCEJO;50,06%;53,07%;AUMENTÓ;9;11;AUMENTÓ
PUTUMAYO;MOCOA;CONCEJO;66,09%;66,13%;AUMENTÓ;8;13;AUMENTÓ
PUTUMAYO;ORITO;CONCEJO;63,38%;51,92%;DISMINUYÓ;11;12;AUMENTÓ
PUTUMAYO;PUERTO ASIS;CONCEJO;53,32%;55,29%;AUMENTÓ;11;14;AUMENTÓ
PUTUMAYO;PUERTO CAICEDO;CONCEJO;67,64%;67,14%;DISMINUYÓ;7;7;SE MANTUVO
PUTUMAYO;PUERTO GUZMAN;CONCEJO;59,33%;68,07%;AUMENTÓ;7;10;AUMENTÓ
PUTUMAYO;PUERTO LEGUIZAMO;CONCEJO;47,49%;71,63%;AUMENTÓ;11;11;SE MANTUVO
PUTUMAYO;SAN MIGUEL (LA DORADA);CONCEJO;60,46%;55,57%;DISMINUYÓ;9;10;AUMENTÓ
PUTUMAYO;VALLE DEL GUAMUEZ (LA HORMIGA);CONCEJO;54,51%;57,97%;AUMENTÓ;10;11;AUMENTÓ
PUTUMAYO;VILLAGARZON;CONCEJO;66,02%;66,63%;AUMENTÓ;10;10;SE MANTUVO
SUCRE;COLOSO (RICAURTE);CONCEJO;80,63%;72,72%;DISMINUYÓ;6;8;AUMENTÓ
SUCRE;CHALAN;CONCEJO;81,60%;76,40%;DISMINUYÓ;9;8;DISMINUYÓ
SUCRE;LOS PALMITOS;CONCEJO;82,61%;71,73%;DISMINUYÓ;9;8;DISMINUYÓ
SUCRE;MORROA;CONCEJO;79,36%;76,01%;DISMINUYÓ;5;5;SE MANTUVO
SUCRE;OVEJAS;CONCEJO;77,19%;73,17%;DISMINUYÓ;7;9;AUMENTÓ
SUCRE;PALMITO;CONCEJO;82,61%;67,63%;DISMINUYÓ;9;9;SE MANTUVO
SUCRE;SAN ONOFRE;CONCEJO;60,42%;58,59%;DISMINUYÓ;9;13;AUMENTÓ
SUCRE;TOLUVIEJO;CONCEJO;77,12%;77,32%;AUMENTÓ;8;10;AUMENTÓ
TOLIMA;ATACO;CONCEJO;65,98%;67,69%;AUMENTÓ;9;13;AUMENTÓ
TOLIMA;CHAPARRAL;CONCEJO;53,15%;55,37%;AUMENTÓ;11;13;AUMENTÓ
TOLIMA;PLANADAS;CONCEJO;62,80%;63,56%;AUMENTÓ;6;10;AUMENTÓ
TOLIMA;RIOBLANCO;CONCEJO;58,29%;57,77%;DISMINUYÓ;8;5;DISMINUYÓ
VALLE;FLORIDA;CONCEJO;56,36%;58,31%;AUMENTÓ;12;12;SE MANTUVO
VALLE;PRADERA;CONCEJO;62,84%;64,37%;AUMENTÓ;11;7;DISMINUYÓ
VALLE;BUENAVENTURA;CONCEJO;56,83%;50,08%;DISMINUYÓ;12;15;AUMENTÓ
